Year,Circuit,Pos,Points,Number,Rider,Nation,Team,Motorcycle,Total Time,Km/h
2007,QAT,3,16,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,43:11:318,164.432
2007,QAT,4,13,21,John HOPKINS,USA,Rizla,Suzuki MotoGP SUZUKI,43:11:859,164.397
2007,QAT,5,11,33,Marco MELANDRI,ITA,Honda,Gresini HONDA,43:20:221,163.869
2007,QAT,6,10,5,Colin EDWARDS,USA,Fiat,Yamaha Team YAMAHA,43:21:435,163.792
2007,QAT,7,9,71,Chris VERMEULEN,AUS,Rizla,Suzuki MotoGP SUZUKI,43:25:704,163.524
2007,QAT,8,8,1,Nicky HAYDEN,USA,Repsol,Honda Team HONDA,43:25:845,163.515
2007,QAT,9,7,4,Alex BARROS,BRA,Pramac,d'Antin DUCATI,43:28:749,163.333
2007,QAT,10,6,56,Shinya NAKANO,JPN,Konica,Minolta Honda HONDA,43:31:244,163.177
2007,QAT,11,5,66,Alex HOFMANN,GER,Pramac,d'Antin DUCATI,43:37:817,162.767
2007,QAT,12,4,19,Olivier JACQUE,FRA,Kawasaki,Racing Team KAWASAKI,43:45:736,162.276
2007,QAT,14,2,24,Toni ELIAS,SPA,Honda,Gresini HONDA,43:45:777,162.274
2007,QAT,15,1,50,Sylvain GUINTOLI,FRA,Dunlop Yamaha Tech 3,YAMAHA,43:54:427,161.741
2007,CAT,1,25,27,Casey STONER,AUS,Ducati,Marlboro Team DUCATI,43:16:907,163.821
2007,CAT,2,20,46,Valentino ROSSI,ITA,Fiat,Yamaha Team YAMAHA,43:16:976,163.817
2007,CAT,3,16,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,43:17:297,163.797
2007,CAT,4,13,21,John HOPKINS,USA,Rizla,Suzuki MotoGP SUZUKI,43:24:721,163.33
2007,CAT,5,11,14,Randy DE PUNIET,FRA,Kawasaki,Racing Team KAWASAKI,43:34:760,162.703
2007,CAT,6,10,65,Loris CAPIROSSI,ITA,Ducati,Marlboro Team DUCATI,43:36:316,162.606
2007,CAT,7,9,71,Chris VERMEULEN,AUS,Rizla,Suzuki MotoGP SUZUKI,43:36:402,162.601
2007,CAT,8,8,4,Alex BARROS,BRA,Pramac,d'Antin DUCATI,43:41:769,162.268
2007,CAT,9,7,33,Marco MELANDRI,ITA,Honda,Gresini HONDA,43:41:870,162.262
2007,CAT,10,6,5,Colin EDWARDS,USA,Fiat,Yamaha Team YAMAHA,43:52:255,161.621
2007,CAT,11,5,1,Nicky HAYDEN,USA,Repsol,Honda Team HONDA,43:53:208,161.563
2007,CAT,12,4,6,Makoto TAMADA,JPN,Dunlop Yamaha Tech 3,YAMAHA,43:55:627,161.415
2007,CAT,13,3,66,Alex HOFMANN,GER,Pramac,d'Antin DUCATI,43:57:841,161.279
2007,CAT,14,2,50,Sylvain GUINTOLI,FRA,Dunlop Yamaha Tech 3,YAMAHA,44:01:306,161.068
2007,CAT,15,1,56,Shinya NAKANO,JPN,Konica,Minolta Honda HONDA,44:11:010,160.478
2007,NED,1,25,46,Valentino ROSSI,ITA,Fiat,Yamaha Team YAMAHA,42:37:149,166.727
2007,NED,2,20,27,Casey STONER,AUS,Ducati,Marlboro Team DUCATI,42:39:058,166.603
2007,NED,3,16,1,Nicky HAYDEN,USA,Repsol,Honda Team HONDA,42:43:226,166.332
2007,NED,4,13,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,42:47:614,166.048
2007,NED,5,11,21,John HOPKINS,USA,Rizla,Suzuki MotoGP SUZUKI,42:50:287,165.875
2007,NED,6,10,5,Colin EDWARDS,USA,Fiat,Yamaha Team YAMAHA,42:52:288,165.746
2007,NED,7,9,4,Alex BARROS,BRA,Pramac,d'Antin DUCATI,43:13:224,164.408
2007,NED,8,8,66,Alex HOFMANN,GER,Pramac,d'Antin DUCATI,43:18:917,164.048
2007,NED,9,7,13,Anthony WEST,AUS,Kawasaki,Racing Team KAWASAKI,43:20:754,163.932
2007,NED,10,6,33,Marco MELANDRI,ITA,Honda,Gresini HONDA,43:20:945,163.92
2007,NED,11,5,7,Carlos CHECA,SPA,Honda,LCR HONDA,43:20:975,163.918
2007,NED,12,4,56,Shinya NAKANO,JPN,Konica,Minolta Honda HONDA,43:25:045,163.662
2007,NED,13,3,6,Makoto TAMADA,JPN,Dunlop Yamaha Tech 3,YAMAHA,43:31:217,163.275
2007,NED,14,2,50,Sylvain GUINTOLI,FRA,Dunlop Yamaha Tech 3,YAMAHA,43:34:867,163.047
2007,POR,1,25,46,Valentino ROSSI,ITA,Fiat,Yamaha Team YAMAHA,45:49:911,153.294
2007,POR,2,20,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,45:50:086,153.284
2007,POR,3,16,27,Casey STONER,AUS,Ducati,Marlboro Team DUCATI,45:51:388,153.211
2007,POR,4,13,1,Nicky HAYDEN,USA,Repsol,Honda Team HONDA,46:02:862,152.575
2007,POR,5,11,33,Marco MELANDRI,ITA,Honda,Gresini HONDA,46:07:254,152.333
2007,POR,6,10,21,John HOPKINS,USA,Rizla,Suzuki MotoGP SUZUKI,46:08:768,152.25
2007,POR,7,9,7,Carlos CHECA,SPA,Honda,LCR HONDA,46:21:435,151.556
2007,POR,8,8,24,Toni ELIAS,SPA,Honda,Gresini HONDA,46:30:446,151.067
2007,POR,9,7,65,Loris CAPIROSSI,ITA,Ducati,Marlboro Team DUCATI,46:33:018,150.928
2007,POR,10,6,5,Colin EDWARDS,USA,Fiat,Yamaha Team YAMAHA,46:34:585,150.843
2007,POR,11,5,56,Shinya NAKANO,JPN,Konica,Minolta Honda HONDA,46:35:314,150.804
2007,POR,12,4,13,Anthony WEST,AUS,Kawasaki,Racing Team KAWASAKI,46:44:473,150.311
2007,POR,13,3,71,Chris VERMEULEN,AUS,Rizla,Suzuki MotoGP SUZUKI,46:49:913,150.02
2007,POR,14,2,50,Sylvain GUINTOLI,FRA,Dunlop Yamaha Tech 3,YAMAHA,46:57:523,144.272
2007,GER,1,25,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,41:53:196,157.754
2007,GER,2,20,65,Loris CAPIROSSI,ITA,Ducati,Marlboro Team DUCATI,42:06:362,156.932
2007,GER,3,16,1,Nicky HAYDEN,USA,Repsol,Honda Team HONDA,42:09:967,156.708
2007,GER,4,13,5,Colin EDWARDS,USA,Fiat,Yamaha Team YAMAHA,42:11:495,156.614
2007,GER,5,11,27,Casey STONER,AUS,Ducati,Marlboro Team DUCATI,42:24:622,155.806
2007,GER,6,10,33,Marco MELANDRI,ITA,Honda,Gresini HONDA,42:25:113,155.776
2007,GER,7,9,21,John HOPKINS,USA,Rizla,Suzuki MotoGP SUZUKI,42:26:591,155.685
2007,GER,8,8,13,Anthony WEST,AUS,Kawasaki,Racing Team KAWASAKI,42:34:390,155.21
2007,GER,9,7,66,Alex HOFMANN,GER,Pramac,d'Antin DUCATI,42:36:410,155.087
2007,GER,10,6,84,Michel FABRIZIO,ITA,Honda,Gresini HONDA,42:37:655,155.012
2007,GER,11,5,71,Chris VERMEULEN,AUS,Rizla,Suzuki MotoGP SUZUKI,42:55:090,153.962
2007,GER,13,3,6,Makoto TAMADA,JPN,Dunlop Yamaha Tech 3,YAMAHA,42:48:710,144.055
2007,GER,14,2,7,Carlos CHECA,SPA,Honda,LCR HONDA,42:34:089,139.705
2007,FRA,1,25,71,Chris VERMEULEN,AUS,Rizla,Suzuki MotoGP SUZUKI,50:58:713,137.752
2007,FRA,2,20,33,Marco MELANDRI,ITA,Honda,Gresini HONDA,51:11:312,137.186
2007,FRA,3,16,27,Casey STONER,AUS,Ducati,Marlboro Team DUCATI,51:26:060,136.531
2007,FRA,4,13,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,51:36:041,136.091
2007,FRA,5,11,66,Alex HOFMANN,GER,Pramac,d'Antin DUCATI,51:47:879,135.572
2007,FRA,6,10,46,Valentino ROSSI,ITA,Fiat,Yamaha Team YAMAHA,51:52:276,135.381
2007,FRA,7,9,21,John HOPKINS,USA,Rizla,Suzuki MotoGP SUZUKI,51:59:786,135.055
2007,FRA,8,8,65,Loris CAPIROSSI,ITA,Ducati,Marlboro Team DUCATI,52:19:954,134.187
2007,FRA,9,7,6,Makoto TAMADA,JPN,Dunlop Yamaha Tech 3,YAMAHA,51:34:842,131.281
2007,FRA,10,6,50,Sylvain GUINTOLI,FRA,Dunlop Yamaha Tech 3,YAMAHA,51:40:165,131.056
2007,FRA,11,5,11,Fonsi NIETO,SPA,Kawasaki,Racing Team KAWASAKI,51:50:572,130.617
2007,FRA,12,4,5,Colin EDWARDS,USA,Fiat,Yamaha Team YAMAHA,51:06:769,122.669
2007,GBR,1,25,27,Casey STONER,AUS,Ducati,Marlboro Team DUCATI,51:40:739,140.122
2007,GBR,2,20,5,Colin EDWARDS,USA,Fiat,Yamaha Team YAMAHA,51:52:507,139.592
2007,GBR,3,16,71,Chris VERMEULEN,AUS,Rizla,Suzuki MotoGP SUZUKI,51:56:417,139.417
2007,GBR,4,13,46,Valentino ROSSI,ITA,Fiat,Yamaha Team YAMAHA,52:02:566,139.143
2007,GBR,5,11,21,John HOPKINS,USA,Rizla,Suzuki MotoGP SUZUKI,52:16:257,138.535
2007,GBR,6,10,14,Randy DE PUNIET,FRA,Kawasaki,Racing Team KAWASAKI,52:17:213,138.493
2007,GBR,7,9,4,Alex BARROS,BRA,Pramac,d'Antin DUCATI,52:18:833,138.422
2007,GBR,8,8,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,52:19:731,138.382
2007,GBR,9,7,66,Alex HOFMANN,GER,Pramac,d'Antin DUCATI,52:19:978,138.371
2007,GBR,10,6,33,Marco MELANDRI,ITA,Honda,Gresini HONDA,52:42:265,137.396
2007,GBR,11,5,13,Anthony WEST,AUS,Kawasaki,Racing Team KAWASAKI,52:47:225,137.181
2007,GBR,12,4,24,Toni ELIAS,SPA,Honda,Gresini HONDA,53:14:813,135.996
2007,GBR,14,2,56,Shinya NAKANO,JPN,Konica,Minolta Honda HONDA,52:50:579,132.468
2007,GBR,15,1,6,Makoto TAMADA,JPN,Dunlop Yamaha Tech 3,YAMAHA,52:41:346,128.273
2007,AUS,1,25,27,Casey STONER,AUS,Ducati,Marlboro Team DUCATI,41:12:244,174.879
2007,AUS,2,20,65,Loris CAPIROSSI,ITA,Ducati,Marlboro Team DUCATI,41:19:007,174.402
2007,AUS,3,16,46,Valentino ROSSI,ITA,Fiat,Yamaha Team YAMAHA,41:22:282,174.172
2007,AUS,4,13,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,41:23:907,174.058
2007,AUS,5,11,4,Alex BARROS,BRA,Pramac,d'Antin DUCATI,41:31:719,173.512
2007,AUS,6,10,14,Randy DE PUNIET,FRA,Kawasaki,Racing Team KAWASAKI,41:39:557,172.968
2007,AUS,7,9,21,John HOPKINS,USA,Rizla,Suzuki MotoGP SUZUKI,41:41:487,172.835
2007,AUS,8,8,71,Chris VERMEULEN,AUS,Rizla,Suzuki MotoGP SUZUKI,41:47:077,172.45
2007,AUS,9,7,5,Colin EDWARDS,USA,Fiat,Yamaha Team YAMAHA,41:47:317,172.433
2007,AUS,10,6,33,Marco MELANDRI,ITA,Honda,Gresini HONDA,41:49:215,172.303
2007,AUS,11,5,7,Carlos CHECA,SPA,Honda,LCR HONDA,41:49:965,172.251
2007,AUS,12,4,13,Anthony WEST,AUS,Kawasaki,Racing Team KAWASAKI,41:50:670,172.203
2007,AUS,13,3,56,Shinya NAKANO,JPN,Konica,Minolta Honda HONDA,41:59:674,171.587
2007,AUS,14,2,50,Sylvain GUINTOLI,FRA,Dunlop Yamaha Tech 3,YAMAHA,42:06:568,171.119
2007,AUS,15,1,24,Toni ELIAS,SPA,Honda,Gresini HONDA,42:22:715,170.033
2007,MAL,1,25,27,Casey STONER,AUS,Ducati,Marlboro Team DUCATI,43:04:405,162.292
2007,MAL,2,20,33,Marco MELANDRI,ITA,Honda,Gresini HONDA,43:06:106,162.185
2007,MAL,3,16,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,43:06:731,162.146
2007,MAL,4,13,14,Randy DE PUNIET,FRA,Kawasaki,Racing Team KAWASAKI,43:08:170,162.056
2007,MAL,5,11,46,Valentino ROSSI,ITA,Fiat,Yamaha Team YAMAHA,43:09:178,161.993
2007,MAL,6,10,24,Toni ELIAS,SPA,Honda,Gresini HONDA,43:22:072,161.19
2007,MAL,7,9,71,Chris VERMEULEN,AUS,Rizla,Suzuki MotoGP SUZUKI,43:25:355,160.987
2007,MAL,8,8,21,John HOPKINS,USA,Rizla,Suzuki MotoGP SUZUKI,43:26:603,160.91
2007,MAL,9,7,1,Nicky HAYDEN,USA,Repsol,Honda Team HONDA,43:26:855,160.894
2007,MAL,10,6,5,Colin EDWARDS,USA,Fiat,Yamaha Team YAMAHA,43:34:151,160.445
2007,MAL,11,5,65,Loris CAPIROSSI,ITA,Ducati,Marlboro Team DUCATI,43:39:328,160.128
2007,MAL,12,4,4,Alex BARROS,BRA,Pramac,d'Antin DUCATI,43:40:072,160.082
2007,MAL,13,3,9,Nobuatsu AOKI,JPN,Rizla,Suzuki MotoGP SUZUKI,43:48:518,159.568
2007,MAL,14,2,7,Carlos CHECA,SPA,Honda,LCR HONDA,43:48:891,159.545
2007,MAL,15,1,13,Anthony WEST,AUS,Kawasaki,Racing Team KAWASAKI,43:54:063,159.232
2018,VAL,1,25,42,Alex RINS,SPA,Team,SUZUKI ECSTAR SUZUKI,22:31:583,138.6
2018,VAL,2,20,4,Andrea DOVIZIOSO,ITA,Ducati,Team DUCATI,22:32:332,138.6
2018,VAL,3,16,46,Valentino ROSSI,ITA,Movistar,Yamaha MotoGP YAMAHA,22:32:653,138.5
2018,VAL,4,13,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,22:49:827,136.8
2018,VAL,5,11,5,Johann ZARCO,FRA,Monster Yamaha Tech 3,YAMAHA,22:52:900,136.5
2018,VAL,6,10,30,Takaaki NAKAGAMI JPN,LCR,Honda,IDEMITSU HONDA,22:57:827,136.0
2018,VAL,7,9,19,Alvaro BAUTISTA,SPA,Angel,Nieto Team DUCATI,23:08:568,134.9
2018,VAL,8,8,44,Pol ESPARGARO SPA Red Bull,KTM,Factory,Racing KTM,23:09:144,134.9
2018,VAL,9,7,45,Scott REDDING,GBR,Aprilia,Racing Team Gresini APRILIA,23:13:506,134.5
2018,VAL,10,6,55,Hafizh SYAHRIN,MAL,Monster Yamaha Tech 3,YAMAHA,23:15:253,134.3
2018,VAL,11,5,99,Jorge LORENZO,SPA,Ducati,Team DUCATI,23:17:251,134.1
2018,VAL,12,4,6,Stefan BRADL GER,LCR,Honda,CASTROL HONDA,23:17:780,134.0
2018,VAL,13,3,51,Michele PIRRO,ITA,Ducati,Team DUCATI,23:31:486,132.7
2018,VAL,14,2,17,Karel ABRAHAM,CZE,Angel,Nieto Team DUCATI,23:33:301,132.6
2018,VAL,15,1,81,Jordi TORRES,SPA,Reale,Avintia Racing DUCATI,23:39:525,132.0
2018,ARA,1,25,93,Marc MARQUEZ,SPA,Repsol,Honda Team HONDA,41:55:949,167.0
2018,ARA,2,20,4,Andrea DOVIZIOSO,ITA,Ducati,Team DUCATI,41:56:597,167.0
2018,ARA,3,16,29,Andrea IANNONE,ITA,Team,SUZUKI ECSTAR SUZUKI,41:57:208,167.0
2018,ARA,4,13,42,Alex RINS,SPA,Team,SUZUKI ECSTAR SUZUKI,41:58:587,166.9
2018,ARA,5,11,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,42:01:223,166.7
2018,ARA,6,10,41,Aleix ESPARGARO,SPA,Aprilia,Racing Team Gresini APRILIA,42:05:345,166.4
2018,ARA,7,9,9,Danilo PETRUCCI,ITA,Alma,Pramac Racing DUCATI,42:10:234,166.1
2018,ARA,8,8,46,Valentino ROSSI,ITA,Movistar,Yamaha MotoGP YAMAHA,42:11:148,166.0
2018,ARA,9,7,43,Jack MILLER,AUS,Alma,Pramac Racing DUCATI,42:12:324,166.0
2018,ARA,10,6,25,Maverick VIÑALES,SPA,Movistar,Yamaha MotoGP YAMAHA,42:18:406,165.6
2018,ARA,11,5,21,Franco MORBIDELLI,ITA,"EG 0,0",Marc VDS HONDA,42:22:974,165.3
2018,ARA,12,4,30,Takaaki NAKAGAMI JPN,LCR,Honda,IDEMITSU HONDA,42:23:906,165.2
2018,ARA,13,3,38,Bradley SMITH GBR Red Bull,KTM,Factory,Racing KTM,42:24:770,165.1
2018,ARA,14,2,5,Johann ZARCO,FRA,Monster Yamaha Tech 3,YAMAHA,42:28:294,164.9
2018,ARA,15,1,17,Karel ABRAHAM,CZE,Angel,Nieto Team DUCATI,42:33:588,164.6
2018,JPN,1,25,93,Marc MARQUEZ,SPA,Repsol,Honda Team HONDA,42:36:438,162.2
2018,JPN,2,20,35,Cal CRUTCHLOW GBR,LCR,Honda,CASTROL HONDA,42:38:011,162.1
2018,JPN,3,16,42,Alex RINS,SPA,Team,SUZUKI ECSTAR SUZUKI,42:38:158,162.1
2018,JPN,4,13,46,Valentino ROSSI,ITA,Movistar,Yamaha MotoGP YAMAHA,42:42:851,161.8
2018,JPN,5,11,19,Alvaro BAUTISTA,SPA,Angel,Nieto Team DUCATI,42:43:357,161.8
2018,JPN,6,10,5,Johann ZARCO,FRA,Monster Yamaha Tech 3,YAMAHA,42:44:462,161.7
2018,JPN,7,9,25,Maverick VIÑALES,SPA,Movistar,Yamaha MotoGP YAMAHA,42:49:768,161.4
2018,JPN,8,8,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,42:52:020,161.2
2018,JPN,9,7,9,Danilo PETRUCCI,ITA,Alma,Pramac Racing DUCATI,42:57:022,160.9
2018,JPN,10,6,55,Hafizh SYAHRIN,MAL,Monster Yamaha Tech 3,YAMAHA,43:01:423,160.6
2018,JPN,11,5,21,Franco MORBIDELLI,ITA,"EG 0,0",Marc VDS HONDA,43:02:369,160.6
2018,JPN,12,4,38,Bradley SMITH GBR Red Bull,KTM,Factory,Racing KTM,43:03:313,160.5
2018,JPN,13,3,44,Pol ESPARGARO SPA Red Bull,KTM,Factory,Racing KTM,43:03:507,160.5
2018,JPN,14,2,89,Katsuyuki NAKASUGA,JPN,Yamalube,Yamaha Factory Rac YAMAHA,43:08:988,160.2
2018,JPN,15,1,30,Takaaki NAKAGAMI JPN,LCR,Honda,IDEMITSU HONDA,43:14:156,159.9
2018,ITA,1,25,99,Jorge LORENZO,SPA,Ducati,Team DUCATI,41:43:230,173.4
2018,ITA,2,20,4,Andrea DOVIZIOSO,ITA,Ducati,Team DUCATI,41:49:600,173.0
2018,ITA,3,16,46,Valentino ROSSI,ITA,Movistar,Yamaha MotoGP YAMAHA,41:49:859,173.0
2018,ITA,4,13,29,Andrea IANNONE,ITA,Team,SUZUKI ECSTAR SUZUKI,41:51:115,172.9
2018,ITA,5,11,42,Alex RINS,SPA,Team,SUZUKI ECSTAR SUZUKI,41:51:137,172.9
2018,ITA,6,10,35,Cal CRUTCHLOW GBR,LCR,Honda,CASTROL HONDA,41:52:350,172.8
2018,ITA,7,9,9,Danilo PETRUCCI,ITA,Alma,Pramac Racing DUCATI,41:54:128,172.7
2018,ITA,8,8,25,Maverick VIÑALES,SPA,Movistar,Yamaha MotoGP YAMAHA,41:54:290,172.7
2018,ITA,9,7,19,Alvaro BAUTISTA,SPA,Angel,Nieto Team DUCATI,41:54:384,172.7
2018,ITA,10,6,5,Johann ZARCO,FRA,Monster Yamaha Tech 3,YAMAHA,42:00:874,172.2
2018,ITA,11,5,44,Pol ESPARGARO SPA Red Bull,KTM,Factory,Racing KTM,42:03:486,172.0
2018,ITA,12,4,55,Hafizh SYAHRIN,MAL,Monster Yamaha Tech 3,YAMAHA,42:05:665,171.9
2018,ITA,13,3,53,Tito RABAT,SPA,Reale,Avintia Racing DUCATI,42:05:694,171.9
2018,ITA,14,2,38,Bradley SMITH GBR Red Bull,KTM,Factory,Racing KTM,42:05:725,171.9
2018,ITA,15,1,21,Franco MORBIDELLI,ITA,"EG 0,0",Marc VDS HONDA,42:09:874,171.6
2018,ARG,1,25,35,Cal CRUTCHLOW GBR,LCR,Honda,CASTROL HONDA,40:36:342,170.4
2018,ARG,2,20,5,Johann ZARCO,FRA,Monster Yamaha Tech 3,YAMAHA,40:36:593,170.4
2018,ARG,3,16,42,Alex RINS,SPA,Team,SUZUKI ECSTAR SUZUKI,40:38:843,170.2
2018,ARG,4,13,43,Jack MILLER,AUS,Alma,Pramac Racing DUCATI,40:40:732,170.1
2018,ARG,5,11,25,Maverick VIÑALES,SPA,Movistar,Yamaha MotoGP YAMAHA,40:51:283,169.3
2018,ARG,6,10,4,Andrea DOVIZIOSO,ITA,Ducati,Team DUCATI,40:58:875,168.8
2018,ARG,7,9,53,Tito RABAT,SPA,Reale,Avintia Racing DUCATI,40:59:368,168.8
2018,ARG,8,8,29,Andrea IANNONE,ITA,Team,SUZUKI ECSTAR SUZUKI,41:00:263,168.7
2018,ARG,9,7,55,Hafizh SYAHRIN,MAL,Monster Yamaha Tech 3,YAMAHA,41:00:653,168.7
2018,ARG,10,6,9,Danilo PETRUCCI,ITA,Alma,Pramac Racing DUCATI,41:02:345,168.6
2018,ARG,11,5,44,Pol ESPARGARO SPA Red Bull,KTM,Factory,Racing KTM,41:07:364,168.2
2018,ARG,12,4,45,Scott REDDING,GBR,Aprilia,Racing Team Gresini APRILIA,41:08:233,168.2
2018,ARG,13,3,30,Takaaki NAKAGAMI JPN,LCR,Honda,IDEMITSU HONDA,41:08:794,168.1
2018,ARG,14,2,21,Franco MORBIDELLI,ITA,"EG 0,0",Marc VDS HONDA,41:18:403,167.5
2018,ARG,15,1,99,Jorge LORENZO,SPA,Ducati,Team DUCATI,41:18:616,167.5
2018,QAT,1,25,4,Andrea DOVIZIOSO,ITA,Ducati,Team DUCATI,42:34:654,166.7
2018,QAT,2,20,93,Marc MARQUEZ,SPA,Repsol,Honda Team HONDA,42:34:681,166.7
2018,QAT,3,16,46,Valentino ROSSI,ITA,Movistar,Yamaha MotoGP YAMAHA,42:35:451,166.7
2018,QAT,4,13,35,Cal CRUTCHLOW GBR,LCR,Honda,CASTROL HONDA,42:37:535,166.6
2018,QAT,5,11,9,Danilo PETRUCCI,ITA,Alma,Pramac Racing DUCATI,42:38:475,166.5
2018,QAT,6,10,25,Maverick VIÑALES,SPA,Movistar,Yamaha MotoGP YAMAHA,42:38:542,166.5
2018,QAT,7,9,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,42:39:275,166.4
2018,QAT,8,8,5,Johann ZARCO,FRA,Monster Yamaha Tech 3,YAMAHA,42:41:766,166.3
2018,QAT,9,7,29,Andrea IANNONE,ITA,Team,SUZUKI ECSTAR SUZUKI,42:47:611,165.9
2018,QAT,10,6,43,Jack MILLER,AUS,Alma,Pramac Racing DUCATI,42:49:248,165.8
2018,QAT,11,5,53,Tito RABAT,SPA,Reale,Avintia Racing DUCATI,42:49:835,165.8
2018,QAT,12,4,21,Franco MORBIDELLI,ITA,"EG 0,0",Marc VDS HONDA,42:50:928,165.7
2018,QAT,13,3,19,Alvaro BAUTISTA,SPA,Angel,Nieto Team DUCATI,42:54:442,165.5
2018,QAT,14,2,55,Hafizh SYAHRIN,MAL,Monster Yamaha Tech 3,YAMAHA,42:54:953,165.4
2018,QAT,15,1,17,Karel ABRAHAM,CZE,Angel,Nieto Team DUCATI,42:57:941,165.2
2018,CAT,1,25,99,Jorge LORENZO,SPA,Ducati,Team DUCATI,40:13:566,165.6
2018,CAT,2,20,93,Marc MARQUEZ,SPA,Repsol,Honda Team HONDA,40:18:045,165.3
2018,CAT,3,16,46,Valentino ROSSI,ITA,Movistar,Yamaha MotoGP YAMAHA,40:19:664,165.2
2018,CAT,4,13,35,Cal CRUTCHLOW GBR,LCR,Honda,CASTROL HONDA,40:23:371,164.9
2018,CAT,5,11,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,40:24:206,164.9
2018,CAT,6,10,25,Maverick VIÑALES,SPA,Movistar,Yamaha MotoGP YAMAHA,40:24:364,164.8
2018,CAT,7,9,5,Johann ZARCO,FRA,Monster Yamaha Tech 3,YAMAHA,40:26:998,164.7
2018,CAT,8,8,9,Danilo PETRUCCI,ITA,Alma,Pramac Racing DUCATI,40:28:621,164.6
2018,CAT,9,7,19,Alvaro BAUTISTA,SPA,Angel,Nieto Team DUCATI,40:35:623,164.1
2018,CAT,10,6,29,Andrea IANNONE,ITA,Team,SUZUKI ECSTAR SUZUKI,40:37:707,163.9
2018,CAT,11,5,44,Pol ESPARGARO SPA Red Bull,KTM,Factory,Racing KTM,40:50:126,163.1
2018,CAT,12,4,45,Scott REDDING,GBR,Aprilia,Racing Team Gresini APRILIA,40:51:795,163.0
2018,CAT,13,3,17,Karel ABRAHAM,CZE,Angel,Nieto Team DUCATI,41:35:092,160.2
2018,CAT,14,2,21,Franco MORBIDELLI,ITA,"EG 0,0",Marc VDS HONDA,41:54:234,139.1
2018,NED,1,25,93,Marc MARQUEZ,SPA,Repsol,Honda Team HONDA,41:13:863,171.8
2018,NED,2,20,42,Alex RINS,SPA,Team,SUZUKI ECSTAR SUZUKI,41:16:132,171.6
2018,NED,3,16,25,Maverick VIÑALES,SPA,Movistar,Yamaha MotoGP YAMAHA,41:16:171,171.6
2018,NED,4,13,4,Andrea DOVIZIOSO,ITA,Ducati,Team DUCATI,41:16:285,171.6
2018,NED,5,11,46,Valentino ROSSI,ITA,Movistar,Yamaha MotoGP YAMAHA,41:16:826,171.6
2018,NED,6,10,35,Cal CRUTCHLOW GBR,LCR,Honda,CASTROL HONDA,41:17:739,171.5
2018,NED,7,9,99,Jorge LORENZO,SPA,Ducati,Team DUCATI,41:18:325,171.5
2018,NED,8,8,5,Johann ZARCO,FRA,Monster Yamaha Tech 3,YAMAHA,41:20:864,171.3
2018,NED,9,7,19,Alvaro BAUTISTA,SPA,Angel,Nieto Team DUCATI,41:21:404,171.3
2018,NED,10,6,43,Jack MILLER,AUS,Alma,Pramac Racing DUCATI,41:26:919,170.9
2018,NED,11,5,29,Andrea IANNONE,ITA,Team,SUZUKI ECSTAR SUZUKI,41:28:118,171.0
2018,NED,12,4,44,Pol ESPARGARO SPA Red Bull,KTM,Factory,Racing KTM,41:29:739,170.7
2018,NED,13,3,41,Aleix ESPARGARO,SPA,Aprilia,Racing Team Gresini APRILIA,41:29:849,170.7
2018,NED,14,2,45,Scott REDDING,GBR,Aprilia,Racing Team Gresini APRILIA,41:29:882,170.7
2018,NED,15,1,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,41:29:906,170.7
2018,GER,1,25,93,Marc MARQUEZ,SPA,Repsol,Honda Team HONDA,41:05:019,160.8
2018,GER,2,20,46,Valentino ROSSI,ITA,Movistar,Yamaha MotoGP YAMAHA,41:07:215,160.6
2018,GER,3,16,25,Maverick VIÑALES,SPA,Movistar,Yamaha MotoGP YAMAHA,41:07:795,160.6
2018,GER,4,13,9,Danilo PETRUCCI,ITA,Alma,Pramac Racing DUCATI,41:08:395,160.6
2018,GER,5,11,19,Alvaro BAUTISTA,SPA,Angel,Nieto Team DUCATI,41:10:202,160.5
2018,GER,6,10,99,Jorge LORENZO,SPA,Ducati,Team DUCATI,41:10:799,160.4
2018,GER,7,9,4,Andrea DOVIZIOSO,ITA,Ducati,Team DUCATI,41:12:960,160.3
2018,GER,8,8,26,Dani PEDROSA,SPA,Repsol,Honda Team HONDA,41:17:730,160.0
2018,GER,9,7,5,Johann ZARCO,FRA,Monster Yamaha Tech 3,YAMAHA,41:19:447,159.9
2018,GER,10,6,38,Bradley SMITH GBR Red Bull,KTM,Factory,Racing KTM,41:26:493,159.4
