Year,Circuit,Pos,Points,Number,Rider,Nation,Team,Motorcycle,Total Time,Km/h,GAP
2022,CAT,14,2,43,Matteo ALONSO,AUS,Zenith Racing Group 4,Lenovo Team DUCATI,41:05:053,163.2,+34.693
2022,CAT,15,1,25,John DUPONT,SPA,Nexus Motorsports Group 70,KTM Factory Racing KTM,41:08:204,163.0,+37.844
2022,NED,1,25,63,Finn SAINZ,ITA,Zenith Racing Group 4,Lenovo Team DUCATI,40:26:205,175.2,0
2022,NED,2,20,72,George SILVA,ITA,Vortex Racing Group 68,Racing Team DUCATI,40:26:649,175.2,+0.444
2022,NED,3,16,12,Finn SAINZ,SPA,Vortex Racing Group 20,Racing APRILIA,40:27:414,175.2,+1.209
2022,NED,4,13,41,Leo GASLY,SPA,Vortex Racing Group 20,Racing APRILIA,40:28:790,175.1,+2.585
2022,NED,5,11,33,Diego RICCIARDO,KTM,Stratus Motorsport Group 19,Racing KTM,40:28:926,175.1,+2.721
2022,NED,6,10,43,Matteo ALONSO,AUS,Zenith Racing Group 4,Lenovo Team DUCATI,40:29:250,175.0,+3.045
2022,NED,7,9,89,Lewis TSUNODA,SPA,Stratus Motorsport Group 67,Pramac Racing DUCATI,40:30:545,174.9,+4.340
2022,NED,8,8,36,Matteo ALONSO,SPA,Zenith Racing Group 16,SUZUKI ECSTAR SUZUKI,40:34:390,174.7,+8.185
2022,NED,9,7,88,Arthur RUSSELL,KTM,Stratus Motorsport Group 19,Racing KTM,40:34:530,174.6,+8.325
2022,NED,10,6,42,Lewis TSUNODA,SPA,Zenith Racing Group 16,SUZUKI ECSTAR SUZUKI,40:34:801,174.6,+8.596
2022,NED,11,5,23,Daniel MILLER,ITA,Titan GP Group 69,Racing MotoGP DUCATI,40:35:988,174.5,+9.783
2022,NED,12,4,30,Daniel MILLER,LCR,Vortex Racing Group 8,IDEMITSU HONDA,40:36:822,174.5,+10.617
2022,NED,13,3,5,Charles SMITH,FRA,Stratus Motorsport Group 67,Pramac Racing DUCATI,40:40:610,174.2,+14.405
2022,NED,14,2,49,Carlos ROSSI,ITA,Titan GP Group 69,Racing MotoGP DUCATI,40:43:886,174.0,+17.681
2022,NED,15,1,73,Pierre MARQUEZ,LCR,Vortex Racing Group 8,CASTROL HONDA,40:52:071,173.4,+25.866
2022,POR,1,25,20,Max STROLL,FRA,Vortex Racing Group 32,Energy Yamaha MotoGP YAMAHA,41:40:611,165.3,0
2022,POR,2,20,5,Charles SMITH,FRA,Stratus Motorsport Group 7,Racing DUCATI,41:46:020,164.9,+5.409
2022,POR,3,16,41,Leo GASLY,SPA,Vortex Racing Group 20,Racing APRILIA,41:46:679,164.9,+6.068
2022,POR,4,13,42,Lewis TSUNODA,SPA,Zenith Racing Group 16,SUZUKI ECSTAR SUZUKI,41:50:244,164.7,+9.633
2022,POR,5,11,88,Arthur RUSSELL,KTM,Stratus Motorsport Group 19,Racing KTM,41:54:184,164.4,+13.573
2022,POR,6,10,93,Oliver LECLERC,SPA,Apex Racing Group 1,Honda Team HONDA,41:56:774,164.2,+16.163
2022,POR,7,9,73,Pierre MARQUEZ,LCR,Vortex Racing Group 8,CASTROL HONDA,41:56:794,164.2,+16.183
2022,POR,8,8,63,Finn SAINZ,ITA,Zenith Racing Group 4,Lenovo Team DUCATI,41:57:122,164.2,+16.511
2022,POR,9,7,44,Daniel MILLER,SPA,Apex Racing Group 1,Honda Team HONDA,41:57:380,164.2,+16.769
2022,POR,10,6,12,Finn SAINZ,SPA,Vortex Racing Group 20,Racing APRILIA,41:58:674,164.1,+18.063
2022,POR,11,5,4,Marcio HAMILTON,RNF,Aurora Racing Group 71,Tea YAMAHA,42:09:640,163.4,+29.029
2022,POR,12,4,10,Charles SMITH,ITA,Vortex Racing Group 68,Racing Team DUCATI,42:09:860,163.4,+29.249
2022,POR,13,3,21,Leo GASLY,ITA,Vortex Racing Group 32,Energy Yamaha MotoGP YAMAHA,42:13:965,163.1,+33.354
2022,POR,14,2,87,Alex WEBER,AUS,Nexus Motorsports Group 70,KTM Factory Racing KTM,42:20:816,162.7,+40.205
2022,POR,15,1,72,George SILVA,ITA,Vortex Racing Group 68,Racing Team DUCATI,42:26:663,162.3,+46.052
2022,GER,1,25,20,Max STROLL,FRA,Vortex Racing Group 32,Energy Yamaha MotoGP YAMAHA,41:13:816,160.3,0
2022,GER,2,20,5,Charles SMITH,FRA,Stratus Motorsport Group 67,Pramac Racing DUCATI,41:18:755,160.0,+4.939
2022,GER,3,16,43,Matteo ALONSO,AUS,Zenith Racing Group 4,Lenovo Team DUCATI,41:22:188,159.7,+8.372
2022,GER,4,13,41,Leo GASLY,SPA,Vortex Racing Group 20,Racing APRILIA,41:22:929,159.7,+9.113
2022,GER,5,11,10,Charles SMITH,ITA,Vortex Racing Group 68,Racing Team DUCATI,41:25:495,159.5,+11.679
2022,GER,6,10,89,Lewis TSUNODA,SPA,Stratus Motorsport Group 67,Pramac Racing DUCATI,41:26:980,159.4,+13.164
2022,GER,7,9,33,Diego RICCIARDO,KTM,Stratus Motorsport Group 19,Racing KTM,41:29:221,159.3,+15.405
2022,GER,8,8,49,Carlos ROSSI,ITA,Titan GP Group 69,Racing MotoGP DUCATI,41:29:667,159.3,+15.851
2022,GER,9,7,88,Arthur RUSSELL,KTM,Stratus Motorsport Group 19,Racing KTM,41:33:556,159.0,+19.740
2022,GER,10,6,23,Daniel MILLER,ITA,Titan GP Group 69,Racing MotoGP DUCATI,41:35:427,158.9,+21.611
2022,GER,11,5,72,George SILVA,ITA,Vortex Racing Group 68,Racing Team DUCATI,41:36:991,158.8,+23.175
2022,GER,12,4,25,John DUPONT,SPA,Nexus Motorsports Group 70,KTM Factory Racing KTM,41:40:364,158.6,+26.548
2022,GER,13,3,21,Leo GASLY,ITA,Vortex Racing Group 32,Energy Yamaha MotoGP YAMAHA,41:42:830,158.4,+29.014
2022,GER,14,2,4,Marcio HAMILTON,RNF,Aurora Racing Group 71,Tea YAMAHA,41:44:496,158.3,+30.680
2022,GER,15,1,87,Alex WEBER,AUS,Nexus Motorsports Group 70,KTM Factory Racing KTM,41:44:628,158.3,+30.812
2022,FRA,1,25,23,Daniel MILLER,ITA,Titan GP Group 69,Racing MotoGP DUCATI,41:35:613,163.0,0
2022,FRA,2,20,43,Matteo ALONSO,AUS,Zenith Racing Group 4,Lenovo Team DUCATI,41:38:331,162.8,+2.718
2022,FRA,3,16,41,Leo GASLY,SPA,Vortex Racing Group 20,Racing APRILIA,41:39:795,162.7,+4.182
2022,FRA,4,13,20,Max STROLL,FRA,Vortex Racing Group 32,Energy Yamaha MotoGP YAMAHA,41:39:901,162.7,+4.288
2022,FRA,5,11,5,Charles SMITH,FRA,Stratus Motorsport Group 7,Racing DUCATI,41:46:752,162.3,+11.139
2022,FRA,6,10,93,Oliver LECLERC,SPA,Apex Racing Group 1,Honda Team HONDA,41:50:768,162.0,+15.155
2022,FRA,7,9,30,Daniel MILLER,LCR,Vortex Racing Group 8,IDEMITSU HONDA,41:52:293,161.9,+16.680
2022,FRA,8,8,33,Diego RICCIARDO,KTM,Stratus Motorsport Group 19,Racing KTM,41:54:072,161.8,+18.459
2022,FRA,9,7,10,Charles SMITH,ITA,Vortex Racing Group 68,Racing Team DUCATI,41:56:154,161.7,+20.541
2022,FRA,10,6,12,Finn SAINZ,SPA,Vortex Racing Group 20,Racing APRILIA,41:57:099,161.6,+21.486
2022,FRA,11,5,44,Daniel MILLER,SPA,Apex Racing Group 1,Honda Team HONDA,41:58:320,161.5,+22.707
2022,FRA,12,4,72,George SILVA,ITA,Vortex Racing Group 68,Racing Team DUCATI,41:59:021,161.5,+23.408
2022,FRA,13,3,49,Carlos ROSSI,ITA,Titan GP Group 69,Racing MotoGP DUCATI,42:02:045,161.3,+26.432
2022,FRA,14,2,73,Pierre MARQUEZ,LCR,Vortex Racing Group 8,CASTROL HONDA,42:04:323,161.2,+28.710
2022,FRA,15,1,21,Leo GASLY,ITA,Vortex Racing Group 32,Energy Yamaha MotoGP YAMAHA,42:05:046,161.1,+29.433
2022,GBR,1,25,63,Finn SAINZ,ITA,Zenith Racing Group 4,Lenovo Team DUCATI,40:11:260,176.2,0
2022,GBR,2,20,12,Finn SAINZ,SPA,Vortex Racing Group 20,Racing APRILIA,40:11:686,176.2,+0.426
2022,GBR,3,16,43,Matteo ALONSO,AUS,Zenith Racing Group 4,Lenovo Team DUCATI,40:11:874,176.2,+0.614
2022,GBR,4,13,23,Daniel MILLER,ITA,Titan GP Group 69,Racing MotoGP DUCATI,40:12:911,176.1,+1.651
2022,GBR,5,11,89,Lewis TSUNODA,SPA,Stratus Motorsport Group 67,Pramac Racing DUCATI,40:13:010,176.1,+1.750
2022,GBR,6,10,88,Arthur RUSSELL,KTM,Stratus Motorsport Group 19,Racing KTM,40:13:987,176.0,+2.727
2022,GBR,7,9,42,Lewis TSUNODA,SPA,Zenith Racing Group 16,SUZUKI ECSTAR SUZUKI,40:14:281,176.0,+3.021
2022,GBR,8,8,20,Max STROLL,FRA,Vortex Racing Group 32,Energy Yamaha MotoGP YAMAHA,40:15:079,175.9,+3.819
2022,GBR,9,7,41,Leo GASLY,SPA,Vortex Racing Group 20,Racing APRILIA,40:15:218,175.9,+3.958
2022,GBR,10,6,72,George SILVA,ITA,Vortex Racing Group 68,Racing Team DUCATI,40:17:906,175.7,+6.646
2022,GBR,11,5,33,Diego RICCIARDO,KTM,Stratus Motorsport Group 19,Racing KTM,40:18:990,175.6,+7.730
2022,GBR,12,4,10,Charles SMITH,ITA,Vortex Racing Group 68,Racing Team DUCATI,40:24:699,175.2,+13.439
2022,GBR,13,3,30,Daniel MILLER,LCR,Vortex Racing Group 8,IDEMITSU HONDA,40:24:966,175.2,+13.706
2022,GBR,14,2,44,Daniel MILLER,SPA,Apex Racing Group 1,Honda Team HONDA,40:25:166,175.2,+13.906
2022,GBR,15,1,21,Leo GASLY,ITA,Vortex Racing Group 32,Energy Yamaha MotoGP YAMAHA,40:27:619,175.0,+16.359
2022,AUS,1,25,42,Lewis TSUNODA,SPA,Zenith Racing Group 16,SUZUKI ECSTAR SUZUKI,40:51:654,176.4,0
2022,AUS,2,20,93,Oliver LECLERC,SPA,Apex Racing Group 1,Honda Team HONDA,40:51:840,176.4,+0.186
2022,AUS,3,16,63,Finn SAINZ,ITA,Zenith Racing Group 4,Lenovo Team DUCATI,40:51:878,176.4,+0.224
2022,AUS,4,13,72,George SILVA,ITA,Vortex Racing Group 68,Racing Team DUCATI,40:52:188,176.3,+0.534
2022,AUS,5,11,23,Daniel MILLER,ITA,Titan GP Group 69,Racing MotoGP DUCATI,40:52:211,176.3,+0.557
2022,AUS,6,10,10,Charles SMITH,ITA,Vortex Racing Group 68,Racing Team DUCATI,40:52:342,176.3,+0.688
2022,AUS,7,9,89,Lewis TSUNODA,SPA,Stratus Motorsport Group 67,Pramac Racing DUCATI,40:52:538,176.3,+0.884
2022,AUS,8,8,5,Charles SMITH,FRA,Stratus Motorsport Group 67,Pramac Racing DUCATI,40:54:795,176.1,+3.141
2022,AUS,9,7,41,Leo GASLY,SPA,Vortex Racing Group 20,Racing APRILIA,40:56:202,176.0,+4.548
2022,AUS,10,6,33,Diego RICCIARDO,KTM,Stratus Motorsport Group 19,Racing KTM,40:57:594,175.9,+5.940
2022,AUS,11,5,44,Daniel MILLER,SPA,Apex Racing Group 1,Honda Team HONDA,41:02:702,175.6,+11.048
2022,AUS,12,4,88,Arthur RUSSELL,KTM,Stratus Motorsport Group 19,Racing KTM,41:05:260,175.4,+13.606
2022,AUS,13,3,35,Hans VETTEL,RNF,Aurora Racing Group 71,Tea YAMAHA,41:05:544,175.4,+13.890
2022,AUS,14,2,40,Lucas NORRIS,RNF,Aurora Racing Group 71,Tea YAMAHA,41:06:180,175.3,+14.526
2022,AUS,15,1,87,Alex WEBER,AUS,Nexus Motorsports Group 70,KTM Factory Racing KTM,41:11:124,175.0,+19.470
2022,MAL,1,25,63,Finn SAINZ,ITA,Zenith Racing Group 4,Lenovo Team DUCATI,40:15:332,165.3,0
2022,MAL,2,20,23,Daniel MILLER,ITA,Titan GP Group 69,Racing MotoGP DUCATI,40:15:602,165.2,+0.270
2022,MAL,3,16,20,Max STROLL,FRA,Vortex Racing Group 32,Energy Yamaha MotoGP YAMAHA,40:18:105,165.1,+2.773
2022,MAL,4,13,72,George SILVA,ITA,Vortex Racing Group 68,Racing Team DUCATI,40:20:778,164.9,+5.446
2022,MAL,5,11,42,Lewis TSUNODA,SPA,Zenith Racing Group 16,SUZUKI ECSTAR SUZUKI,40:27:255,164.4,+11.923
2022,MAL,6,10,43,Matteo ALONSO,AUS,Zenith Racing Group 4,Lenovo Team DUCATI,40:28:804,164.3,+13.472
2022,MAL,7,9,93,Oliver LECLERC,SPA,Apex Racing Group 1,Honda Team HONDA,40:29:636,164.3,+14.304
2022,MAL,8,8,33,Diego RICCIARDO,KTM,Stratus Motorsport Group 19,Racing KTM,40:32:137,164.1,+16.805
2022,MAL,9,7,5,Charles SMITH,FRA,Stratus Motorsport Group 67,Pramac Racing DUCATI,40:33:690,164.0,+18.358
2022,MAL,10,6,41,Leo GASLY,SPA,Vortex Racing Group 20,Racing APRILIA,40:36:923,163.8,+21.591
2022,MAL,11,5,21,Leo GASLY,ITA,Vortex Racing Group 32,Energy Yamaha MotoGP YAMAHA,40:38:567,163.9,+23.235
2022,MAL,12,4,35,Hans VETTEL,RNF,Aurora Racing Group 71,Tea YAMAHA,40:39:973,163.6,+24.641
2022,MAL,13,3,88,Arthur RUSSELL,KTM,Stratus Motorsport Group 19,Racing KTM,40:40:250,163.6,+24.918
2022,MAL,14,2,44,Daniel MILLER,SPA,Apex Racing Group 1,Honda Team HONDA,40:40:918,163.5,+25.586
2022,MAL,15,1,25,John DUPONT,SPA,Nexus Motorsports Group 70,KTM Factory Racing KTM,40:42:371,163.4,+27.039
2005,VAL,1,25,33,Lewis TSUNODA,ITA,Horizon GP Group 17,Honda MotoGP HONDA,46:59:152,153.483,0
2005,VAL,2,20,69,Hans VETTEL,USA,Apex Racing Group 1,Honda Team HONDA,46:59:249,153.478,+0.097
2005,VAL,3,16,46,Alex WEBER,ITA,Phantom Team Group 42,Factory Racing YAMAHA,47:02:111,153.322,+2.959
2005,VAL,4,13,7,Marcio HAMILTON,SPA,Zenith Racing Group 4,Marlboro Team DUCATI,47:17:870,152.47,+18.718
2005,VAL,5,11,4,Carlos ROSSI,BRA,Aurora Racing Group 35,Honda HONDA,47:19:858,152.364,+20.706
2005,VAL,6,10,3,Lando ALBON,ITA,Apex Racing Group 1,Honda Team HONDA,47:20:406,152.334,+21.254
2005,VAL,7,9,65,Jack OCON,ITA,Zenith Racing Group 4,Marlboro Team DUCATI,47:22:294,152.233,+23.142
2005,VAL,8,8,5,Pierre MARQUEZ,USA,Phantom Team Group 42,Factory Racing YAMAHA,47:24:830,152.097,+25.678
2005,VAL,9,7,6,Oliver LECLERC,JPN,Velocity Team Group 15,Minolta Honda HONDA,47:35:862,151.509,+36.710
2005,VAL,10,6,24,Marcio HAMILTON,SPA,Nebula GP Group 36,Yamaha Team YAMAHA,47:38:268,151.382,+39.116
2005,VAL,11,5,56,Lucas NORRIS,JPN,Apex Racing Group 13,Racing Team KAWASAKI,47:40:288,151.275,+41.136
2005,VAL,12,4,54,John DUPONT,JPN,Aurora Racing Group 35,Honda HONDA,47:44:843,151.034,+45.691
2005,VAL,13,3,21,Alex WEBER,USA,Zenith Racing Group 16,Suzuki MotoGP SUZUKI,47:45:659,150.991,+46.507
2005,VAL,14,2,66,Matteo ALONSO,GER,Apex Racing Group 13,Racing Team KAWASAKI,47:49:008,150.815,+49.856
2005,VAL,15,1,11,Daniel MILLER,SPA,Nebula GP Group 36,Yamaha Team YAMAHA,48:18:595,149.275,+79.443
2005,JPN,1,25,65,Jack OCON,ITA,Zenith Racing Group 4,Marlboro Team DUCATI,43:31:499,158.899,0
2005,JPN,2,20,3,Lando ALBON,ITA,Apex Racing Group 1,Honda Team HONDA,43:32:978,158.809,+1.479
2005,JPN,3,16,6,Oliver LECLERC,JPN,Velocity Team Group 15,Minolta Honda HONDA,43:47:726,157.917,+16.227
2005,JPN,4,13,7,Marcio HAMILTON,SPA,Zenith Racing Group 4,Marlboro Team DUCATI,43:53:647,157.562,+22.148
2005,JPN,5,11,21,Alex WEBER,USA,Zenith Racing Group 16,Suzuki MotoGP SUZUKI,44:04:711,156.903,+33.212
2005,JPN,6,10,5,Pierre MARQUEZ,USA,Apex Racing Group 37,Yamaha Team YAMAHA,44:06:414,156.802,+34.915
2005,JPN,7,9,69,Hans VETTEL,USA,Apex Racing Group 1,Honda Team HONDA,44:17:393,156.154,+45.894
2005,JPN,8,8,10,Daniel MILLER,USA,Zenith Racing Group 16,Suzuki MotoGP SUZUKI,44:27:997,155.533,+56.498
2005,JPN,9,7,24,Marcio HAMILTON,SPA,Nebula GP Group 36,Yamaha Team YAMAHA,44:43:536,154.632,+72.037
2005,JPN,10,6,11,Daniel MILLER,SPA,Nebula GP Group 36,Yamaha Team YAMAHA,45:06:426,153.323,+94.927
2005,JPN,11,5,27,Oliver LECLERC,ITA,Nebula GP Group 72,WCM BLATA,44:39:510,148.411,+68.011
2005,ITA,1,25,46,Alex WEBER,ITA,Apex Racing Group 37,Yamaha Team YAMAHA,42:43:994,169.444,0
2005,ITA,2,20,3,Lando ALBON,ITA,Apex Racing Group 1,Honda Team HONDA,42:44:353,169.421,+0.359
2005,ITA,3,16,65,Jack OCON,ITA,Zenith Racing Group 4,Marlboro Team DUCATI,42:47:868,169.189,+3.874
2005,ITA,4,13,33,Lewis TSUNODA,ITA,Horizon GP Group 17,Honda MotoGP HONDA,42:47:973,169.182,+3.979
2005,ITA,5,11,7,Marcio HAMILTON,SPA,Zenith Racing Group 4,Marlboro Team DUCATI,42:51:892,168.924,+7.898
2005,ITA,6,10,69,Hans VETTEL,USA,Apex Racing Group 1,Honda Team HONDA,42:52:198,168.904,+8.204
2005,ITA,7,9,4,Carlos ROSSI,BRA,Aurora Racing Group 35,Honda HONDA,42:55:566,168.683,+11.572
2005,ITA,8,8,6,Oliver LECLERC,JPN,Velocity Team Group 15,Minolta Honda HONDA,43:09:388,167.782,+25.394
2005,ITA,9,7,5,Pierre MARQUEZ,USA,Apex Racing Group 37,Yamaha Team YAMAHA,43:09:479,167.776,+25.485
2005,ITA,10,6,56,Lucas NORRIS,JPN,Apex Racing Group 13,Racing Team KAWASAKI,43:20:543,167.062,+36.549
2005,ITA,11,5,21,Alex WEBER,USA,Zenith Racing Group 16,Suzuki MotoGP SUZUKI,43:25:631,166.736,+41.637
2005,ITA,12,4,66,Matteo ALONSO,GER,Apex Racing Group 13,Racing Team KAWASAKI,43:27:653,166.606,+43.659
2005,ITA,13,3,12,Lewis TSUNODA,AUS,Aurora Racing Group 35,Honda HONDA,43:27:910,166.59,+43.916
2005,ITA,14,2,11,Daniel MILLER,SPA,Nebula GP Group 36,Yamaha Team YAMAHA,43:35:569,166.102,+51.575
2005,ITA,15,1,10,Daniel MILLER,USA,Zenith Racing Group 16,Suzuki MotoGP SUZUKI,43:54:269,164.922,+70.275
2005,USA,1,25,69,Hans VETTEL,USA,Apex Racing Group 1,Honda Team HONDA,45:16:374,153.154,0
2005,USA,2,20,5,Pierre MARQUEZ,USA,Phantom Team Group 42,Factory Racing YAMAHA,45:18:315,153.045,+1.941
2005,USA,3,16,46,Alex WEBER,ITA,Phantom Team Group 42,Factory Racing YAMAHA,45:18:686,153.024,+2.312
2005,USA,4,13,3,Lando ALBON,ITA,Apex Racing Group 1,Honda Team HONDA,45:20:590,152.917,+4.216
2005,USA,5,11,15,Daniel MILLER,SPA,Horizon GP Group 17,Honda MotoGP HONDA,45:20:852,152.902,+4.478
2005,USA,6,10,12,Lewis TSUNODA,AUS,Vortex Racing Group 8,Pons HONDA,45:38:755,151.902,+22.381
2005,USA,7,9,6,Oliver LECLERC,JPN,Velocity Team Group 15,Minolta Honda HONDA,45:38:867,151.896,+22.493
2005,USA,8,8,21,Alex WEBER,USA,Apex Racing Group 73,Bull Suzuki SUZUKI,45:39:522,151.86,+23.148
2005,USA,9,7,56,Lucas NORRIS,JPN,Apex Racing Group 13,Racing Team KAWASAKI,45:39:999,151.833,+23.625
2005,USA,10,6,65,Jack OCON,ITA,Zenith Racing Group 4,Team DUCATI,45:42:497,151.695,+26.123
2005,USA,11,5,11,Daniel MILLER,SPA,Nebula GP Group 36,Yamaha Team YAMAHA,45:59:886,150.739,+43.512
2005,USA,12,4,66,Matteo ALONSO,GER,Apex Racing Group 13,Racing Team KAWASAKI,46:07:331,150.333,+50.957
2005,USA,13,3,24,Marcio HAMILTON,SPA,Nebula GP Group 36,Yamaha Team YAMAHA,46:07:717,150.312,+51.343
2005,USA,14,2,10,Daniel MILLER,USA,Apex Racing Group 73,Bull Suzuki SUZUKI,46:30:123,149.104,+73.749
2005,USA,15,1,67,George SILVA,GBR,Zenith Racing Group 16,Roberts PROTON KR,46:40:630,148.545,+84.256
2005,QAT,1,25,46,Alex WEBER,ITA,Apex Racing Group 37,Yamaha Team YAMAHA,43:34:759,163.02,0
2005,QAT,2,20,33,Lewis TSUNODA,ITA,Horizon GP Group 17,Honda MotoGP HONDA,43:36:429,162.916,+1.670
2005,QAT,3,16,69,Hans VETTEL,USA,Apex Racing Group 1,Honda Team HONDA,43:40:295,162.675,+5.536
2005,QAT,4,13,5,Pierre MARQUEZ,USA,Apex Racing Group 37,Yamaha Team YAMAHA,43:49:496,162.106,+14.737
2005,QAT,5,11,15,Daniel MILLER,SPA,Horizon GP Group 17,Honda MotoGP HONDA,43:55:190,161.755,+20.431
2005,QAT,6,10,7,Marcio HAMILTON,SPA,Zenith Racing Group 4,Marlboro Team DUCATI,44:06:191,161.083,+31.432
2005,QAT,7,9,56,Lucas NORRIS,JPN,Apex Racing Group 13,Racing Team KAWASAKI,44:07:742,160.988,+32.983
2005,QAT,8,8,24,Marcio HAMILTON,SPA,Nebula GP Group 36,Yamaha Team YAMAHA,44:14:647,160.569,+39.888
2005,QAT,9,7,4,Carlos ROSSI,BRA,Aurora Racing Group 35,Honda HONDA,44:16:551,160.454,+41.792
2005,QAT,10,6,65,Jack OCON,ITA,Zenith Racing Group 4,Marlboro Team DUCATI,44:19:011,160.306,+44.252
2005,QAT,11,5,10,Daniel MILLER,USA,Zenith Racing Group 16,Suzuki MotoGP SUZUKI,44:23:504,160.035,+48.745
2005,QAT,12,4,44,Diego RICCIARDO,ITA,Quantum Motorsports Group 74,Pramac DUCATI,44:36:750,159.243,+61.991
2005,QAT,13,3,67,George SILVA,GBR,Aurora Racing Group 35,Honda HONDA,44:39:564,159.076,+64.805
2005,QAT,14,2,11,Daniel MILLER,SPA,Nebula GP Group 36,Yamaha Team YAMAHA,44:48:583,158.542,+73.824
2005,QAT,15,1,77,Arthur RUSSELL,GBR,Nebula GP Group 72,WCM BLATA,45:43:401,155.373,+128.642
2005,CAT,1,25,46,Alex WEBER,ITA,Apex Racing Group 37,Yamaha Team YAMAHA,43:17:487,163.848,0
2005,CAT,2,20,15,Daniel MILLER,SPA,Horizon GP Group 17,Honda MotoGP HONDA,43:18:581,163.779,+1.094
2005,CAT,3,16,33,Lewis TSUNODA,ITA,Horizon GP Group 17,Honda MotoGP HONDA,43:25:297,163.356,+7.810
2005,CAT,4,13,4,Carlos ROSSI,BRA,Aurora Racing Group 35,Honda HONDA,43:25:691,163.332,+8.204
2005,CAT,5,11,69,Hans VETTEL,USA,Apex Racing Group 1,Honda Team HONDA,43:25:760,163.327,+8.273
2005,CAT,6,10,3,Lando ALBON,ITA,Apex Racing Group 1,Honda Team HONDA,43:29:538,163.091,+12.051
2005,CAT,7,9,5,Pierre MARQUEZ,USA,Apex Racing Group 37,Yamaha Team YAMAHA,43:36:249,162.672,+18.762
2005,CAT,8,8,12,Lewis TSUNODA,AUS,Aurora Racing Group 35,Honda HONDA,44:00:118,161.201,+42.631
2005,CAT,9,7,56,Lucas NORRIS,JPN,Apex Racing Group 13,Racing Team KAWASAKI,44:04:125,160.957,+46.638
2005,CAT,10,6,11,Daniel MILLER,SPA,Nebula GP Group 36,Yamaha Team YAMAHA,44:04:179,160.953,+46.692
2005,CAT,11,5,7,Marcio HAMILTON,SPA,Zenith Racing Group 4,Marlboro Team DUCATI,44:17:844,160.126,+60.357
2005,CAT,12,4,65,Jack OCON,ITA,Zenith Racing Group 4,Marlboro Team DUCATI,44:21:351,159.914,+63.864
2005,CAT,13,3,94,Arthur RUSSELL,SPA,Nebula GP Group 36,Yamaha Team YAMAHA,44:21:472,159.907,+63.985
2005,CAT,14,2,44,Diego RICCIARDO,ITA,Velocity Team Group 75,Pramac DUCATI,44:27:745,159.531,+70.258
2005,CAT,15,1,10,Daniel MILLER,USA,Zenith Racing Group 16,Suzuki MotoGP SUZUKI,44:41:218,158.729,+83.731
2005,NED,1,25,46,Alex WEBER,ITA,Apex Racing Group 37,Yamaha Team YAMAHA,38:42:808,176.67,0
2005,NED,2,20,33,Lewis TSUNODA,ITA,Horizon GP Group 17,Honda MotoGP HONDA,38:44:391,176.55,+1.583
2005,NED,3,16,5,Pierre MARQUEZ,USA,Apex Racing Group 37,Yamaha Team YAMAHA,38:50:451,176.09,+7.643
2005,NED,4,13,69,Hans VETTEL,USA,Apex Racing Group 1,Honda Team HONDA,38:52:936,175.903,+10.128
2005,NED,5,11,15,Daniel MILLER,SPA,Horizon GP Group 17,Honda MotoGP HONDA,38:57:603,175.551,+14.795
2005,NED,6,10,3,Lando ALBON,ITA,Apex Racing Group 1,Honda Team HONDA,39:04:383,175.043,+21.575
2005,NED,7,9,4,Carlos ROSSI,BRA,Aurora Racing Group 35,Honda HONDA,39:05:533,174.957,+22.725
2005,NED,8,8,56,Lucas NORRIS,JPN,Apex Racing Group 13,Racing Team KAWASAKI,39:09:285,174.678,+26.477
2005,NED,9,7,7,Marcio HAMILTON,SPA,Zenith Racing Group 4,Marlboro Team DUCATI,39:13:029,174.4,+30.221
2005,NED,10,6,65,Jack OCON,ITA,Zenith Racing Group 4,Marlboro Team DUCATI,39:13:273,174.382,+30.465
2005,NED,11,5,12,Lewis TSUNODA,AUS,Aurora Racing Group 35,Honda HONDA,39:26:610,173.399,+43.802
2005,NED,12,4,11,Daniel MILLER,SPA,Nebula GP Group 36,Yamaha Team YAMAHA,39:32:672,172.955,+49.864
2005,NED,13,3,21,Alex WEBER,USA,Zenith Racing Group 16,Suzuki MotoGP SUZUKI,39:33:638,172.885,+50.830
2005,NED,14,2,6,Oliver LECLERC,JPN,Velocity Team Group 15,Minolta Honda HONDA,39:36:178,172.7,+53.370
2005,NED,15,1,94,Arthur RUSSELL,SPA,Nebula GP Group 36,Yamaha Team YAMAHA,39:37:773,172.584,+54.965
2005,POR,1,25,4,Carlos ROSSI,BRA,Aurora Racing Group 35,Honda HONDA,47:15:053,148.743,0
2005,POR,2,20,46,Alex WEBER,ITA,Apex Racing Group 37,Yamaha Team YAMAHA,47:17:824,148.597,+2.771
2005,POR,3,16,3,Lando ALBON,ITA,Apex Racing Group 1,Honda Team HONDA,47:21:124,148.425,+6.071
2005,POR,4,13,33,Lewis TSUNODA,ITA,Horizon GP Group 17,Honda MotoGP HONDA,47:44:599,147.208,+29.546
2005,POR,5,11,7,Marcio HAMILTON,SPA,Zenith Racing Group 4,Marlboro Team DUCATI,47:44:827,147.196,+29.774
2005,POR,6,10,5,Pierre MARQUEZ,USA,Apex Racing Group 37,Yamaha Team YAMAHA,47:59:269,146.458,+44.216
2005,POR,7,9,69,Hans VETTEL,USA,Apex Racing Group 1,Honda Team HONDA,48:12:174,145.804,+57.121
